id iq logcond
-1.3000000 0.0800000 1.8544218
-1.3000000 0.1219512 1.8982299
-1.3000000 0.1639024 1.9700764
-1.3000000 0.2058537 2.0838543
-1.3000000 0.2478049 2.2763028
-1.3000000 0.2897561 2.7139443
-1.3000000 0.3317073 2.7553819
-1.3000000 0.3736585 2.2451986
-1.3000000 0.4156098 2.0101906
-1.3000000 0.4575610 1.8564676
-1.3000000 0.4995122 1.7435174
-1.3000000 0.5414634 1.6556979
-1.3000000 0.5834146 1.5852292
-1.3000000 0.6253659 1.5276249
-1.3000000 0.6673171 1.4800271
-1.3000000 0.7092683 1.4404779
-1.3000000 0.7512195 1.4075587
-1.3000000 0.7931707 1.3801954
-1.3000000 0.8351220 1.3575458
-1.3000000 0.8770732 1.3389312
-1.3000000 0.9190244 1.3237926
-1.3000000 0.9609756 1.3116624
-1.3000000 1.0029268 1.3021442
-1.3000000 1.0448780 1.2948998
-1.3000000 1.0868293 1.2896380
-1.3000000 1.1287805 1.2861076
-1.3000000 1.1707317 1.2840909
-1.3000000 1.2126829 1.2833987
-1.3000000 1.2546341 1.2838667
-1.3000000 1.2965854 1.2853515
-1.3000000 1.3385366 1.2877278
-1.3000000 1.3804878 1.2908865
-1.3000000 1.4224390 1.2947318
-1.3000000 1.4643902 1.2991799
-1.3000000 1.5063415 1.3041573
-1.3000000 1.5482927 1.3095994
-1.3000000 1.5902439 1.3154493
-1.3000000 1.6321951 1.3216571
-1.3000000 1.6741463 1.3281785
-1.3000000 1.7160976 1.3349745
-1.3000000 1.7580488 1.3420106
-1.3000000 1.8000000 1.3492563
-1.2452381 0.0800000 1.7175418
-1.2452381 0.1219512 1.6857170
-1.2452381 0.1639024 1.6464709
-1.2452381 0.2058537 1.6026368
-1.2452381 0.2478049 1.5567448
-1.2452381 0.2897561 1.5108126
-1.2452381 0.3317073 1.4663163
-1.2452381 0.3736585 1.4242575
-1.2452381 0.4156098 1.3852634
-1.2452381 0.4575610 1.3496838
-1.2452381 0.4995122 1.3176713
-1.2452381 0.5414634 1.2892423
-1.2452381 0.5834146 1.2643212
-1.2452381 0.6253659 1.2427707
-1.2452381 0.6673171 1.2244133
-1.2452381 0.7092683 1.2090460
-1.2452381 0.7512195 1.1964511
-1.2452381 0.7931707 1.1864038
-1.2452381 0.8351220 1.1786787
-1.2452381 0.8770732 1.1730548
-1.2452381 0.9190244 1.1693196
-1.2452381 0.9609756 1.1672719
-1.2452381 1.0029268 1.1667242
-1.2452381 1.0448780 1.1675037
-1.2452381 1.0868293 1.1694530
-1.2452381 1.1287805 1.1724301
-1.2452381 1.1707317 1.1763074
-1.2452381 1.2126829 1.1809716
-1.2452381 1.2546341 1.1863217
-1.2452381 1.2965854 1.1922689
-1.2452381 1.3385366 1.1987345
-1.2452381 1.3804878 1.2056496
-1.2452381 1.4224390 1.2129533
-1.2452381 1.4643902 1.2205923
-1.2452381 1.5063415 1.2285199
-1.2452381 1.5482927 1.2366950
-1.2452381 1.5902439 1.2450813
-1.2452381 1.6321951 1.2536472
-1.2452381 1.6741463 1.2623648
-1.2452381 1.7160976 1.2712096
-1.2452381 1.7580488 1.2801600
-1.2452381 1.8000000 1.2891970
-1.1904762 0.0800000 1.2739322
-1.1904762 0.1219512 1.2606100
-1.1904762 0.1639024 1.2446222
-1.1904762 0.2058537 1.2266519
-1.1904762 0.2478049 1.2074221
-1.1904762 0.2897561 1.1876366
-1.1904762 0.3317073 1.1679359
-1.1904762 0.3736585 1.1488714
-1.1904762 0.4156098 1.1308937
-1.1904762 0.4575610 1.1143535
-1.1904762 0.4995122 1.0995073
-1.1904762 0.5414634 1.0865285
-1.1904762 0.5834146 1.0755178
-1.1904762 0.6253659 1.0665136
-1.1904762 0.6673171 1.0595020
-1.1904762 0.7092683 1.0544259
-1.1904762 0.7512195 1.0511935
-1.1904762 0.7931707 1.0496870
-1.1904762 0.8351220 1.0497713
-1.1904762 0.8770732 1.0513011
-1.1904762 0.9190244 1.0541285
-1.1904762 0.9609756 1.0581078
-1.1904762 1.0029268 1.0631003
-1.1904762 1.0448780 1.0689766
-1.1904762 1.0868293 1.0756185
-1.1904762 1.1287805 1.0829194
-1.1904762 1.1707317 1.0907842
-1.1904762 1.2126829 1.0991290
-1.1904762 1.2546341 1.1078801
-1.1904762 1.2965854 1.1169733
-1.1904762 1.3385366 1.1263524
-1.1904762 1.3804878 1.1359689
-1.1904762 1.4224390 1.1457806
-1.1904762 1.4643902 1.1557511
-1.1904762 1.5063415 1.1658488
-1.1904762 1.5482927 1.1760464
-1.1904762 1.5902439 1.1863205
-1.1904762 1.6321951 1.1966505
-1.1904762 1.6741463 1.2070189
-1.1904762 1.7160976 1.2174105
-1.1904762 1.7580488 1.2278120
-1.1904762 1.8000000 1.2382121
-1.1357143 0.0800000 1.0530270
-1.1357143 0.1219512 1.0434708
-1.1357143 0.1639024 1.0327020
-1.1357143 0.2058537 1.0211044
-1.1357143 0.2478049 1.0090873
-1.1357143 0.2897561 0.9970577
-1.1357143 0.3317073 0.9853989
-1.1357143 0.3736585 0.9744544
-1.1357143 0.4156098 0.9645190
-1.1357143 0.4575610 0.9558341
-1.1357143 0.4995122 0.9485879
-1.1357143 0.5414634 0.9429156
-1.1357143 0.5834146 0.9389013
-1.1357143 0.6253659 0.9365802
-1.1357143 0.6673171 0.9359414
-1.1357143 0.7092683 0.9369317
-1.1357143 0.7512195 0.9394622
-1.1357143 0.7931707 0.9434163
-1.1357143 0.8351220 0.9486591
-1.1357143 0.8770732 0.9550462
-1.1357143 0.9190244 0.9624322
-1.1357143 0.9609756 0.9706773
-1.1357143 1.0029268 0.9796510
-1.1357143 1.0448780 0.9892354
-1.1357143 1.0868293 0.9993254
-1.1357143 1.1287805 1.0098294
-1.1357143 1.1707317 1.0206679
-1.1357143 1.2126829 1.0317729
-1.1357143 1.2546341 1.0430864
-1.1357143 1.2965854 1.0545592
-1.1357143 1.3385366 1.0661498
-1.1357143 1.3804878 1.0778231
-1.1357143 1.4224390 1.0895497
-1.1357143 1.4643902 1.1013047
-1.1357143 1.5063415 1.1130673
-1.1357143 1.5482927 1.1248202
-1.1357143 1.5902439 1.1365487
-1.1357143 1.6321951 1.1482406
-1.1357143 1.6741463 1.1598859
-1.1357143 1.7160976 1.1714760
-1.1357143 1.7580488 1.1830040
-1.1357143 1.8000000 1.1944640
-1.0809524 0.0800000 0.9013080
-1.0809524 0.1219512 0.8929963
-1.0809524 0.1639024 0.8841973
-1.0809524 0.2058537 0.8752091
-1.0809524 0.2478049 0.8663396
-1.0809524 0.2897561 0.8578900
-1.0809524 0.3317073 0.8501405
-1.0809524 0.3736585 0.8433430
-1.0809524 0.4156098 0.8377154
-1.0809524 0.4575610 0.8334404
-1.0809524 0.4995122 0.8306635
-1.0809524 0.5414634 0.8294907
-1.0809524 0.5834146 0.8299849
-1.0809524 0.6253659 0.8321617
-1.0809524 0.6673171 0.8359872
-1.0809524 0.7092683 0.8413799
-1.0809524 0.7512195 0.8482171
-1.0809524 0.7931707 0.8563470
-1.0809524 0.8351220 0.8656015
-1.0809524 0.8770732 0.8758095
-1.0809524 0.9190244 0.8868072
-1.0809524 0.9609756 0.8984444
-1.0809524 1.0029268 0.9105883
-1.0809524 1.0448780 0.9231246
-1.0809524 1.0868293 0.9359563
-1.0809524 1.1287805 0.9490024
-1.0809524 1.1707317 0.9621962
-1.0809524 1.2126829 0.9754828
-1.0809524 1.2546341 0.9888176
-1.0809524 1.2965854 1.0021641
-1.0809524 1.3385366 1.0154932
-1.0809524 1.3804878 1.0287813
-1.0809524 1.4224390 1.0420094
-1.0809524 1.4643902 1.0551624
-1.0809524 1.5063415 1.0682286
-1.0809524 1.5482927 1.0811984
-1.0809524 1.5902439 1.0940648
-1.0809524 1.6321951 1.1068220
-1.0809524 1.6741463 1.1194661
-1.0809524 1.7160976 1.1319939
-1.0809524 1.7580488 1.1444035
-1.0809524 1.8000000 1.1566934
-1.0261905 0.0800000 0.7824658
-1.0261905 0.1219512 0.7744506
-1.0261905 0.1639024 0.7664307
-1.0261905 0.2058537 0.7586776
-1.0261905 0.2478049 0.7514577
-1.0261905 0.2897561 0.7450205
-1.0261905 0.3317073 0.7395925
-1.0261905 0.3736585 0.7353761
-1.0261905 0.4156098 0.7325503
-1.0261905 0.4575610 0.7312722
-1.0261905 0.4995122 0.7316743
-1.0261905 0.5414634 0.7338564
-1.0261905 0.5834146 0.7378722
-1.0261905 0.6253659 0.7437157
-1.0261905 0.6673171 0.7513117
-1.0261905 0.7092683 0.7605186
-1.0261905 0.7512195 0.7711440
-1.0261905 0.7931707 0.7829673
-1.0261905 0.8351220 0.7957633
-1.0261905 0.8770732 0.8093207
-1.0261905 0.9190244 0.8234520
-1.0261905 0.9609756 0.8379981
-1.0261905 1.0029268 0.8528282
-1.0261905 1.0448780 0.8678366
-1.0261905 1.0868293 0.8829395
-1.0261905 1.1287805 0.8980709
-1.0261905 1.1707317 0.9131798
-1.0261905 1.2126829 0.9282265
-1.0261905 1.2546341 0.9431809
-1.0261905 1.2965854 0.9580203
-1.0261905 1.3385366 0.9727275
-1.0261905 1.3804878 0.9872901
-1.0261905 1.4224390 1.0016991
-1.0261905 1.4643902 1.0159484
-1.0261905 1.5063415 1.0300341
-1.0261905 1.5482927 1.0439539
-1.0261905 1.5902439 1.0577070
-1.0261905 1.6321951 1.0712934
-1.0261905 1.6741463 1.0847142
-1.0261905 1.7160976 1.0979707
-1.0261905 1.7580488 1.1110649
-1.0261905 1.8000000 1.1239992
-0.9714286 0.0800000 0.6813198
-0.9714286 0.1219512 0.6731061
-0.9714286 0.1639024 0.6652997
-0.9714286 0.2058537 0.6581628
-0.9714286 0.2478049 0.6519326
-0.9714286 0.2897561 0.6468182
-0.9714286 0.3317073 0.6430052
-0.9714286 0.3736585 0.6406664
-0.9714286 0.4156098 0.6399713
-0.9714286 0.4575610 0.6410911
-0.9714286 0.4995122 0.6441895
-0.9714286 0.5414634 0.6493979
-0.9714286 0.5834146 0.6567754
-0.9714286 0.6253659 0.6662707
-0.9714286 0.6673171 0.6777085
-0.9714286 0.7092683 0.6908135
-0.9714286 0.7512195 0.7052598
