id iq logcond
-1.6000000 0.0800000 0.5150849
-1.6000000 0.1219512 0.5487508
-1.6000000 0.1639024 0.5906279
-1.6000000 0.2058537 0.6375762
-1.6000000 0.2478049 0.6874309
-1.6000000 0.2897561 0.7389083
-1.6000000 0.3317073 0.7913685
-1.6000000 0.3736585 0.8446001
-1.6000000 0.4156098 0.8986705
-1.6000000 0.4575610 0.9538366
-1.6000000 0.4995122 1.0105006
-1.6000000 0.5414634 1.0691985
-1.6000000 0.5834146 1.1306177
-1.6000000 0.6253659 1.1956424
-1.6000000 0.6673171 1.2654411
-1.6000000 0.7092683 1.3416194
-1.6000000 0.7512195 1.4264999
-1.6000000 0.7931707 1.5236687
-1.6000000 0.8351220 1.6391615
-1.6000000 0.8770732 1.7844690
-1.6000000 0.9190244 1.9862611
-1.6000000 0.9609756 2.3370271
-1.6000000 1.0029268 3.1172833
-1.6000000 1.0448780 2.2363344
-1.6000000 1.0868293 1.9770980
-1.6000000 1.1287805 1.8239191
-1.6000000 1.1707317 1.7167764
-1.6000000 1.2126829 1.6354645
-1.6000000 1.2546341 1.5706896
-1.6000000 1.2965854 1.5174023
-1.6000000 1.3385366 1.4725529
-1.6000000 1.3804878 1.4341589
-1.6000000 1.4224390 1.4008592
-1.6000000 1.4643902 1.3716794
-1.6000000 1.5063415 1.3458977
-1.6000000 1.5482927 1.3229651
-1.6000000 1.5902439 1.3024540
-1.6000000 1.6321951 1.2840251
-1.6000000 1.6741463 1.2674043
-1.6000000 1.7160976 1.2523676
-1.6000000 1.7580488 1.2387290
-1.6000000 1.8000000 1.2263326
-1.5500000 0.0800000 0.5122150
-1.5500000 0.1219512 0.5324187
-1.5500000 0.1639024 0.5589576
-1.5500000 0.2058537 0.5903746
-1.5500000 0.2478049 0.6253919
-1.5500000 0.2897561 0.6630118
-1.5500000 0.3317073 0.7025255
-1.5500000 0.3736585 0.7434750
-1.5500000 0.4156098 0.7856024
-1.5500000 0.4575610 0.8288037
-1.5500000 0.4995122 0.8730930
-1.5500000 0.5414634 0.9185782
-1.5500000 0.5834146 0.9654478
-1.5500000 0.6253659 1.0139666
-1.5500000 0.6673171 1.0644811
-1.5500000 0.7092683 1.1174340
-1.5500000 0.7512195 1.1733919
-1.5500000 0.7931707 1.2330909
-1.5500000 0.8351220 1.2975111
-1.5500000 0.8770732 1.3680013
-1.5500000 0.9190244 1.4464987
-1.5500000 0.9609756 1.5359421
-1.5500000 1.0029268 1.6411266
-1.5500000 1.0448780 1.7707243
-1.5500000 1.0868293 1.9431164
-1.5500000 1.1287805 2.2102800
-1.5500000 1.1707317 2.9133417
-1.5500000 1.2126829 2.4630876
-1.5500000 1.2546341 2.1053511
-1.5500000 1.2965854 1.9206633
-1.5500000 1.3385366 1.7977343
-1.5500000 1.3804878 1.7068227
-1.5500000 1.4224390 1.6355307
-1.5500000 1.4643902 1.5774926
-1.5500000 1.5063415 1.5290033
-1.5500000 1.5482927 1.4877160
-1.5500000 1.5902439 1.4520504
-1.5500000 1.6321951 1.4208919
-1.5500000 1.6741463 1.3934246
-1.5500000 1.7160976 1.3690336
-1.5500000 1.7580488 1.3472440
-1.5500000 1.8000000 1.3276813
-1.5000000 0.0800000 0.5157768
-1.5000000 0.1219512 0.5293360
-1.5000000 0.1639024 0.5476428
-1.5000000 0.2058537 0.5699841
-1.5000000 0.2478049 0.5956509
-1.5000000 0.2897561 0.6240065
-1.5000000 0.3317073 0.6545222
-1.5000000 0.3736585 0.6867870
-1.5000000 0.4156098 0.7205023
-1.5000000 0.4575610 0.7554682
-1.5000000 0.4995122 0.7915691
-1.5000000 0.5414634 0.8287596
-1.5000000 0.5834146 0.8670541
-1.5000000 0.6253659 0.9065189
-1.5000000 0.6673171 0.9472683
-1.5000000 0.7092683 0.9894644
-1.5000000 0.7512195 1.0333200
-1.5000000 0.7931707 1.0791058
-1.5000000 0.8351220 1.1271641
-1.5000000 0.8770732 1.1779285
-1.5000000 0.9190244 1.2319552
-1.5000000 0.9609756 1.2899722
-1.5000000 1.0029268 1.3529566
-1.5000000 1.0448780 1.4222644
-1.5000000 1.0868293 1.4998568
-1.5000000 1.1287805 1.5887303
-1.5000000 1.1707317 1.6938082
-1.5000000 1.2126829 1.8240694
-1.5000000 1.2546341 1.9987770
-1.5000000 1.2965854 2.2737032
-1.5000000 1.3385366 3.0606976
-1.5000000 1.3804878 2.4748716
-1.5000000 1.4224390 2.1338113
-1.5000000 1.4643902 1.9533077
-1.5000000 1.5063415 1.8320449
-1.5000000 1.5482927 1.7418881
-1.5000000 1.5902439 1.6709294
-1.5000000 1.6321951 1.6130011
-1.5000000 1.6741463 1.5644928
-1.5000000 1.7160976 1.5231079
-1.5000000 1.7580488 1.4872948
-1.5000000 1.8000000 1.4559562
-1.4500000 0.0800000 0.5217087
-1.4500000 0.1219512 0.5315316
-1.4500000 0.1639024 0.5449982
-1.4500000 0.2058537 0.5617297
-1.4500000 0.2478049 0.5813212
-1.4500000 0.2897561 0.6033772
-1.4500000 0.3317073 0.6275373
-1.4500000 0.3736585 0.6534916
-1.4500000 0.4156098 0.6809863
-1.4500000 0.4575610 0.7098242
-1.4500000 0.4995122 0.7398614
-1.4500000 0.5414634 0.7710019
-1.4500000 0.5834146 0.8031922
-1.4500000 0.6253659 0.8364172
-1.4500000 0.6673171 0.8706961
-1.4500000 0.7092683 0.9060800
-1.4500000 0.7512195 0.9426512
-1.4500000 0.7931707 0.9805236
-1.4500000 0.8351220 1.0198459
-1.4500000 0.8770732 1.0608056
-1.4500000 0.9190244 1.1036371
-1.4500000 0.9609756 1.1486327
-1.4500000 1.0029268 1.1961598
-1.4500000 1.0448780 1.2466853
-1.4500000 1.0868293 1.3008132
-1.4500000 1.1287805 1.3593425
-1.4500000 1.1707317 1.4233603
-1.4500000 1.2126829 1.4943994
-1.4500000 1.2546341 1.5747215
-1.4500000 1.2965854 1.6678679
-1.4500000 1.3385366 1.7798588
-1.4500000 1.3804878 1.9222352
-1.4500000 1.4224390 2.1219441
-1.4500000 1.4643902 2.4732786
-1.4500000 1.5063415 3.2100994
-1.4500000 1.5482927 2.3569120
-1.4500000 1.5902439 2.0976697
-1.4500000 1.6321951 1.9433051
-1.4500000 1.6741463 1.8347509
-1.4500000 1.7160976 1.7520016
-1.4500000 1.7580488 1.6858236
-1.4500000 1.8000000 1.6311868
-1.4000000 0.0800000 0.5286528
-1.4000000 0.1219512 0.5361661
-1.4000000 0.1639024 0.5465615
-1.4000000 0.2058537 0.5596225
-1.4000000 0.2478049 0.5751063
-1.4000000 0.2897561 0.5927627
-1.4000000 0.3317073 0.6123499
-1.4000000 0.3736585 0.6336451
-1.4000000 0.4156098 0.6564525
-1.4000000 0.4575610 0.6806067
-1.4000000 0.4995122 0.7059734
-1.4000000 0.5414634 0.7324493
-1.4000000 0.5834146 0.7599598
-1.4000000 0.6253659 0.7884576
-1.4000000 0.6673171 0.8179199
-1.4000000 0.7092683 0.8483473
-1.4000000 0.7512195 0.8797624
-1.4000000 0.7931707 0.9122090
-1.4000000 0.8351220 0.9457526
-1.4000000 0.8770732 0.9804815
-1.4000000 0.9190244 1.0165085
-1.4000000 0.9609756 1.0539747
-1.4000000 1.0029268 1.0930546
-1.4000000 1.0448780 1.1339631
-1.4000000 1.0868293 1.1769662
-1.4000000 1.1287805 1.2223955
-1.4000000 1.1707317 1.2706700
-1.4000000 1.2126829 1.3223274
-1.4000000 1.2546341 1.3780726
-1.4000000 1.2965854 1.4388538
-1.4000000 1.3385366 1.5059881
-1.4000000 1.3804878 1.5813807
-1.4000000 1.4224390 1.6679374
-1.4000000 1.4643902 1.7704158
-1.4000000 1.5063415 1.8974359
-1.4000000 1.5482927 2.0672749
-1.4000000 1.5902439 2.3315427
-1.4000000 1.6321951 3.0255986
-1.4000000 1.6741463 2.5855023
-1.4000000 1.7160976 2.2242651
-1.4000000 1.7580488 2.0374746
-1.4000000 1.8000000 1.9127875
-1.3500000 0.0800000 0.5360549
-1.3500000 0.1219512 0.5420365
-1.3500000 0.1639024 0.5503615
-1.3500000 0.2058537 0.5608980
-1.3500000 0.2478049 0.5734935
-1.3500000 0.2897561 0.5879849
-1.3500000 0.3317073 0.6042075
-1.3500000 0.3736585 0.6220031
-1.3500000 0.4156098 0.6412250
-1.3500000 0.4575610 0.6617423
-1.3500000 0.4995122 0.6834420
-1.3500000 0.5414634 0.7062298
-1.3500000 0.5834146 0.7300304
-1.3500000 0.6253659 0.7547869
-1.3500000 0.6673171 0.7804602
-1.3500000 0.7092683 0.8070278
-1.3500000 0.7512195 0.8344834
-1.3500000 0.7931707 0.8628360
-1.3500000 0.8351220 0.8921098
-1.3500000 0.8770732 0.9223444
-1.3500000 0.9190244 0.9535952
-1.3500000 0.9609756 0.9859346
-1.3500000 1.0029268 1.0194536
-1.3500000 1.0448780 1.0542648
-1.3500000 1.0868293 1.0905057
-1.3500000 1.1287805 1.1283440
-1.3500000 1.1707317 1.1679846
-1.3500000 1.2126829 1.2096796
-1.3500000 1.2546341 1.2537418
-1.3500000 1.2965854 1.3005646
-1.3500000 1.3385366 1.3506508
-1.3500000 1.3804878 1.4046556
-1.3500000 1.4224390 1.4634546
-1.3500000 1.4643902 1.5282542
-1.3500000 1.5063415 1.6007802
-1.3500000 1.5482927 1.6836273
-1.3500000 1.5902439 1.7809598
-1.3500000 1.6321951 1.9001045
-1.3500000 1.6741463 2.0558762
-1.3500000 1.7160976 2.2863764
-1.3500000 1.7580488 2.7655165
-1.3500000 1.8000000 2.8010444
-1.3000000 0.0800000 0.5436567
-1.3000000 0.1219512 0.5485663
-1.3000000 0.1639024 0.5554265
-1.3000000 0.2058537 0.5641526
-1.3000000 0.2478049 0.5746446
-1.3000000 0.2897561 0.5867924
-1.3000000 0.3317073 0.6004820
-1.3000000 0.3736585 0.6155996
-1.3000000 0.4156098 0.6320362
-1.3000000 0.4575610 0.6496905
-1.3000000 0.4995122 0.6684709
-1.3000000 0.5414634 0.6882972
-1.3000000 0.5834146 0.7091012
-1.3000000 0.6253659 0.7308272
-1.3000000 0.6673171 0.7534315
-1.3000000 0.7092683 0.7768826
-1.3000000 0.7512195 0.8011607
-1.3000000 0.7931707 0.8262571
-1.3000000 0.8351220 0.8521747
-1.3000000 0.8770732 0.8789270
-1.3000000 0.9190244 0.9065391
-1.3000000 0.9609756 0.9350472
-1.3000000 1.0029268 0.9645001
-1.3000000 1.0448780 0.9949596
-1.3000000 1.0868293 1.0265022
-1.3000000 1.1287805 1.0592214
-1.3000000 1.1707317 1.0932303
