# t id iq if torque pcu uutil
0.000000000 0.050000000 0.450000000 0.550000000 0.101250000 0.069100000 0.929034999
0.022288345 0.055326962 0.445373042 0.554300822 0.102179646 0.069096843 0.930647807
0.044576690 0.060653924 0.440746085 0.558601643 0.103068344 0.069114057 0.932260615
0.066865035 0.065980885 0.436119127 0.562902465 0.103916095 0.069151641 0.933873423
0.089153380 0.071307847 0.431492169 0.567203286 0.104722899 0.069209596 0.935486231
0.111441725 0.076634809 0.426865211 0.571504108 0.105488756 0.069287922 0.937099039
0.133730070 0.081961771 0.422238254 0.575804929 0.106213666 0.069386618 0.938711847
0.156018415 0.087288733 0.417611296 0.580105751 0.106897628 0.069505685 0.940324655
0.178306760 0.092615695 0.412984338 0.584406573 0.107540643 0.069645122 0.941937463
0.200595105 0.097942656 0.408357381 0.588707394 0.108142711 0.069804930 0.943550272
0.222883450 0.103269618 0.403730423 0.593008216 0.108703832 0.069985108 0.945163080
0.245171796 0.108596580 0.399103465 0.597309037 0.109224005 0.070185657 0.946775888
0.267460141 0.113923542 0.394476508 0.601609859 0.109703231 0.070406577 0.948388696
0.289748486 0.119250504 0.389849550 0.605910680 0.110141510 0.070647867 0.950001504
0.312036831 0.124577465 0.385222592 0.610211502 0.110538842 0.070909528 0.951614312
0.334325176 0.129904427 0.380595634 0.614512324 0.110895226 0.071191559 0.953227120
0.356613521 0.135231389 0.375968677 0.618813145 0.111210663 0.071493961 0.954839928
0.378901866 0.140558351 0.371341719 0.623113967 0.111485153 0.071816733 0.956452736
0.401190211 0.145885313 0.366714761 0.627414788 0.111718696 0.072159876 0.958065544
0.423478556 0.151212274 0.362087804 0.631715610 0.111911291 0.072523390 0.959678352
0.445766901 0.156539236 0.357460846 0.636016431 0.112062940 0.072907274 0.961291161
0.468055246 0.161866198 0.352833888 0.640317253 0.112173641 0.073311529 0.962903969
0.490343591 0.167193160 0.348206931 0.644618074 0.112243394 0.073736155 0.964516777
