# t id iq if torque pcu uutil
0.000000000 0.050000000 0.450000000 0.550000000 0.101250000 0.069100000 0.793748825
0.069813969 0.050000000 0.450000000 0.562500000 0.103275000 0.070768750 0.798436325
0.139627939 0.050000000 0.450000000 0.575000000 0.105300000 0.072475000 0.803123825
0.209441908 0.050000000 0.450000000 0.587500000 0.107325000 0.074218750 0.807811325
0.279255878 0.050000000 0.450000000 0.600000000 0.109350000 0.076000000 0.812498825
0.349069847 0.050000000 0.450000000 0.612500000 0.111375000 0.077818750 0.817186325
0.418883816 0.050000000 0.450000000 0.625000000 0.113400000 0.079675000 0.821873825
0.488697786 0.050000000 0.450000000 0.637500000 0.115425000 0.081568750 0.826561325
0.558511755 0.050000000 0.450000000 0.650000000 0.117450000 0.083500000 0.831248825
0.628325725 0.050000000 0.450000000 0.662500000 0.119475000 0.085468750 0.835936325
0.698139694 0.050000000 0.450000000 0.675000000 0.121500000 0.087475000 0.840623825
0.767953663 0.050000000 0.450000000 0.687500000 0.123525000 0.089518750 0.845311325
0.837767633 0.050000000 0.450000000 0.700000000 0.125550000 0.091600000 0.849998825
0.907581602 0.050000000 0.450000000 0.712500000 0.127575000 0.093718750 0.854686325
0.977395571 0.050000000 0.450000000 0.725000000 0.129600000 0.095875000 0.859373825
1.047209541 0.050000000 0.450000000 0.737500000 0.131625000 0.098068750 0.864061325
1.117023510 0.050000000 0.450000000 0.750000000 0.133650000 0.100300000 0.868748825
1.186837480 0.050000000 0.450000000 0.762500000 0.135675000 0.102568750 0.873436325
1.256651449 0.050000000 0.450000000 0.775000000 0.137700000 0.104875000 0.878123825
1.326465418 0.050000000 0.450000000 0.787500000 0.139725000 0.107218750 0.882811325
1.396279388 0.050000000 0.450000000 0.800000000 0.141750000 0.109600000 0.887498825
1.466093357 0.050000000 0.450000000 0.812500000 0.143775000 0.112018750 0.892186325
1.535907327 0.050000000 0.450000000 0.825000000 0.145800000 0.114475000 0.896873825
1.605721296 0.050000000 0.450000000 0.837500000 0.147825000 0.116968750 0.901561325
1.675535265 0.050000000 0.450000000 0.850000000 0.149850000 0.119500000 0.906248825
1.745349235 0.050000000 0.450000000 0.862500000 0.151875000 0.122068750 0.910936325
1.815163204 0.050000000 0.450000000 0.875000000 0.153900000 0.124675000 0.915623825
1.884977174 0.050000000 0.450000000 0.887500000 0.155925000 0.127318750 0.920311325
1.954791143 0.050000000 0.450000000 0.900000000 0.157950000 0.130000000 0.924998825
2.024605112 0.050000000 0.450000000 0.912500000 0.159975000 0.132718750 0.929686325
2.094419082 0.050000000 0.450000000 0.925000000 0.162000000 0.135475000 0.934373825
2.164233051 0.050000000 0.450000000 0.937500000 0.164025000 0.138268750 0.939061325
2.234047021 0.050000000 0.450000000 0.950000000 0.166050000 0.141100000 0.943748825
2.303860990 0.050000000 0.450000000 0.962500000 0.168075000 0.143968750 0.948436325
2.373674959 0.050000000 0.450000000 0.975000000 0.170100000 0.146875000 0.953123825
2.443488929 0.050000000 0.450000000 0.987500000 0.172125000 0.149818750 0.957811325
2.513302898 0.050000000 0.450000000 1.000000000 0.174150000 0.152800000 0.962498825
2.583116867 0.050000000 0.450000000 1.012500000 0.176175000 0.155818750 0.967186325
2.652930837 0.050000000 0.450000000 1.025000000 0.178200000 0.158875000 0.971873825
2.722744806 0.050000000 0.450000000 1.037500000 0.180225000 0.161968750 0.976561325
2.792558776 0.050000000 0.450000000 1.050000000 0.182250000 0.165100000 0.981248825
2.862372745 0.050000000 0.450000000 1.062500000 0.184275000 0.168268750 0.985936325
2.932186714 0.050000000 0.450000000 1.075000000 0.186300000 0.171475000 0.990623825
3.002000684 0.050000000 0.450000000 1.087500000 0.188325000 0.174718750 0.995311325
3.071814653 0.050000000 0.450000000 1.100000000 0.190350000 0.178000000 0.999998825
3.077044300 0.056818182 0.468181818 1.100000000 0.199764669 0.180787603 0.901408345
3.082273948 0.063636364 0.486363636 1.100000000 0.209313223 0.183695868 0.901408345
3.087503595 0.070454545 0.504545455 1.100000000 0.218995661 0.186724793 0.901408345
3.092733242 0.077272727 0.522727273 1.100000000 0.228811983 0.189874380 0.901408345
3.097962889 0.084090909 0.540909091 1.100000000 0.238762190 0.193144628 0.901408345
3.103192537 0.090909091 0.559090909 1.100000000 0.248846281 0.196535537 0.901408345
3.108422184 0.097727273 0.577272727 1.100000000 0.259064256 0.200047107 0.901408345
3.113651831 0.104545455 0.595454545 1.100000000 0.269416116 0.203679339 0.901408345
3.118881479 0.111363636 0.613636364 1.100000000 0.279901860 0.207432231 0.901408345
3.124111126 0.118181818 0.631818182 1.100000000 0.290521488 0.211305785 0.901408345
3.129340773 0.125000000 0.650000000 1.100000000 0.301275000 0.215300000 0.901408345
3.134570420 0.131818182 0.668181818 1.100000000 0.312162397 0.219414876 0.901408345
3.139800068 0.138636364 0.686363636 1.100000000 0.323183678 0.223650413 0.903786038
3.145029715 0.145454545 0.704545455 1.100000000 0.334338843 0.228006612 0.906752122
3.150259362 0.152272727 0.722727273 1.100000000 0.345627893 0.232483471 0.909728263
3.155489009 0.159090909 0.740909091 1.100000000 0.357050826 0.237080992 0.912714364
3.160718657 0.165909091 0.759090909 1.100000000 0.368607645 0.241799174 0.915710328
3.165948304 0.172727273 0.777272727 1.100000000 0.380298347 0.246638017 0.918716057
3.171177951 0.179545455 0.795454545 1.100000000 0.392122934 0.251597521 0.921731457
3.176407598 0.186363636 0.813636364 1.100000000 0.404081405 0.256677686 0.924756432
3.181637246 0.193181818 0.831818182 1.100000000 0.416173760 0.261878512 0.927790890
3.186866893 0.200000000 0.850000000 1.100000000 0.428400000 0.267200000 0.930834736
3.192096540 0.206818182 0.868181818 1.100000000 0.440760124 0.272642149 0.933887881
3.197326187 0.213636364 0.886363636 1.100000000 0.453254132 0.278204959 0.936950231
3.202555835 0.220454545 0.904545455 1.100000000 0.465882025 0.283888430 0.940021699
3.207785482 0.227272727 0.922727273 1.100000000 0.478643802 0.289692562 0.943102194
3.213015129 0.234090909 0.940909091 1.100000000 0.491539463 0.295617355 0.946191628
3.218244776 0.240909091 0.959090909 1.100000000 0.504569008 0.301662810 0.949289915
3.223474424 0.247727273 0.977272727 1.100000000 0.517732438 0.307828926 0.952396967
3.228704071 0.254545455 0.995454545 1.100000000 0.531029752 0.314115702 0.955512699
3.233933718 0.261363636 1.013636364 1.100000000 0.544460950 0.320523140 0.958637027
3.239163365 0.268181818 1.031818182 1.100000000 0.558026033 0.327051240 0.961769867
3.244393013 0.275000000 1.050000000 1.100000000 0.571725000 0.333700000 0.964911135
3.249622660 0.281818182 1.068181818 1.100000000 0.585557851 0.340469421 0.968060751
3.254852307 0.288636364 1.086363636 1.100000000 0.599524587 0.347359504 0.971218632
3.260081954 0.295454545 1.104545455 1.100000000 0.613625207 0.354370248 0.974384698
3.265311602 0.302272727 1.122727273 1.100000000 0.627859711 0.361501653 0.977558870
3.270541249 0.309090909 1.140909091 1.100000000 0.642228099 0.368753719 0.980741069
3.275770896 0.315909091 1.159090909 1.100000000 0.656730372 0.376126446 0.983931218
3.281000543 0.322727273 1.177272727 1.100000000 0.671366529 0.383619835 0.987129238
3.286230191 0.329545455 1.195454545 1.100000000 0.686136570 0.391233884 0.990335054
3.291459838 0.336363636 1.213636364 1.100000000 0.701040496 0.398968595 0.993548591
3.296689485 0.343181818 1.231818182 1.100000000 0.716078306 0.406823967 0.996769773
3.301919132 0.350000000 1.250000000 1.100000000 0.731250000 0.414800000 0.999998527
