# t id iq if torque pcu uutil
0.000000000 0.050000000 0.450000000 0.550000000 0.101250000 0.069100000 0.792884665
0.008282521 0.058551136 0.478587040 0.550000000 0.109892014 0.073495806 0.797118877
0.016565043 0.067102273 0.507174079 0.550000000 0.118798036 0.078176522 0.801380252
0.024847564 0.075653409 0.535761119 0.550000000 0.127968065 0.083142146 0.805668359
0.033130086 0.084204545 0.564348158 0.550000000 0.137402103 0.088392680 0.809982773
0.041412607 0.092755682 0.592935198 0.550000000 0.147100148 0.093928122 0.814323077
0.049695129 0.101306818 0.621522238 0.550000000 0.157062201 0.099748474 0.818688858
0.057977650 0.109857955 0.650109277 0.550000000 0.167288262 0.105853735 0.823079712
0.066260172 0.118409091 0.678696317 0.550000000 0.177778330 0.112243905 0.827495238
0.074542693 0.126960227 0.707283356 0.550000000 0.188532407 0.118918983 0.831935045
0.082825215 0.135511364 0.735870396 0.550000000 0.199550491 0.125878971 0.836398746
0.091107736 0.144062500 0.764457436 0.550000000 0.210832583 0.133123868 0.840885959
0.099390258 0.152613636 0.793044475 0.550000000 0.222378683 0.140653674 0.845396311
0.107672779 0.161164773 0.821631515 0.550000000 0.234188790 0.148468389 0.849929433
0.115955301 0.169715909 0.850218554 0.550000000 0.246262906 0.156568013 0.854484963
0.124237822 0.178267045 0.878805594 0.550000000 0.258601029 0.164952546 0.859062545
0.132520344 0.186818182 0.907392634 0.550000000 0.271203160 0.173621988 0.863661827
0.140802865 0.195369318 0.935979673 0.550000000 0.284069299 0.182576339 0.868282465
0.149085387 0.203920455 0.964566713 0.550000000 0.297199446 0.191815599 0.872924120
0.157367908 0.212471591 0.993153752 0.550000000 0.310593600 0.201339768 0.877586458
0.165650429 0.221022727 1.021740792 0.550000000 0.324251762 0.211148847 0.882269152
0.173932951 0.229573864 1.050327832 0.550000000 0.338173933 0.221242834 0.886971878
0.182215472 0.238125000 1.078914871 0.550000000 0.352360111 0.231621730 0.891694321
0.190497994 0.246676136 1.107501911 0.550000000 0.366810296 0.242285536 0.896436168
0.198780515 0.255227273 1.136088950 0.550000000 0.381524490 0.253234250 0.901197113
0.207063037 0.263778409 1.164675990 0.550000000 0.396502691 0.264467874 0.905976856
0.215345558 0.272329545 1.193263030 0.550000000 0.411744900 0.275986406 0.910775099
0.223628080 0.280880682 1.221850069 0.550000000 0.427251117 0.287789848 0.915591553
0.231910601 0.289431818 1.250437109 0.550000000 0.443021342 0.299878198 0.920425931
0.240193123 0.297982955 1.279024148 0.550000000 0.459055575 0.312251458 0.925277952
0.248475644 0.306534091 1.307611188 0.550000000 0.475353815 0.324909627 0.930147341
0.256758166 0.315085227 1.336198228 0.550000000 0.491916063 0.337852705 0.935033826
0.265040687 0.323636364 1.364785267 0.550000000 0.508742319 0.351080691 0.939937140
0.273323209 0.332187500 1.393372307 0.550000000 0.525832583 0.364593587 0.944857021
0.281605730 0.340738636 1.421959346 0.550000000 0.543186854 0.378391392 0.949793212
0.289888252 0.349289773 1.450546386 0.550000000 0.560805134 0.392474106 0.954745461
0.298170773 0.357840909 1.479133426 0.550000000 0.578687421 0.406841729 0.959713517
0.306453294 0.366392045 1.507720465 0.550000000 0.596833716 0.421494261 0.964697138
0.314735816 0.374943182 1.536307505 0.550000000 0.615244019 0.436431702 0.969696083
0.323018337 0.383494318 1.564894544 0.550000000 0.633918330 0.451654052 0.974710116
0.331300859 0.392045455 1.593481584 0.550000000 0.652856648 0.467161312 0.979739006
0.339583380 0.400596591 1.622068624 0.550000000 0.672058974 0.482953480 0.984782525
0.347865902 0.409147727 1.650655663 0.550000000 0.691525308 0.499030557 0.989840450
0.356148423 0.417698864 1.679242703 0.550000000 0.711255650 0.515392543 0.994912560
0.364430945 0.426250000 1.707829743 0.550000000 0.731250000 0.532039439 0.999998640
0.433138771 0.424517045 1.697424521 0.562500000 0.732844713 0.527803106 0.798436325
0.501846597 0.422784091 1.687019300 0.575000000 0.734365252 0.523639881 0.803123825
0.570554423 0.421051136 1.676614078 0.587500000 0.735811620 0.519549762 0.807811325
0.639262249 0.419318182 1.666208857 0.600000000 0.737183814 0.515532751 0.812498825
0.707970075 0.417585227 1.655803635 0.612500000 0.738481836 0.511588846 0.817186325
0.776677901 0.415852273 1.645398414 0.625000000 0.739705685 0.507718049 0.821873825
0.845385727 0.414119318 1.634993193 0.637500000 0.740855361 0.503920358 0.826561325
0.914093553 0.412386364 1.624587971 0.650000000 0.741930865 0.500195774 0.831248825
0.982801379 0.410653409 1.614182750 0.662500000 0.742932196 0.496544298 0.835936325
1.051509205 0.408920455 1.603777528 0.675000000 0.743859355 0.492965928 0.840623825
1.120217031 0.407187500 1.593372307 0.687500000 0.744712341 0.489460665 0.845311325
1.188924857 0.405454545 1.582967085 0.700000000 0.745491154 0.486028509 0.849998825
1.257632683 0.403721591 1.572561864 0.712500000 0.746195794 0.482669460 0.854686325
1.326340509 0.401988636 1.562156643 0.725000000 0.746826262 0.479383518 0.859373825
1.395048334 0.400255682 1.551751421 0.737500000 0.747382557 0.476170683 0.864061325
1.463756160 0.398522727 1.541346200 0.750000000 0.747864679 0.473030955 0.868748825
1.532463986 0.396789773 1.530940978 0.762500000 0.748272629 0.469964334 0.873436325
1.601171812 0.395056818 1.520535757 0.775000000 0.748606406 0.466970820 0.878123825
1.669879638 0.393323864 1.510130536 0.787500000 0.748866010 0.464050413 0.882811325
1.738587464 0.391590909 1.499725314 0.800000000 0.749051442 0.461203113 0.887498825
1.807295290 0.389857955 1.489320093 0.812500000 0.749162701 0.458428920 0.892186325
1.876003116 0.388125000 1.478914871 0.825000000 0.749199787 0.455727834 0.896873825
1.944710942 0.386392045 1.468509650 0.837500000 0.749162701 0.453099855 0.901561325
2.013418768 0.384659091 1.458104428 0.850000000 0.749051442 0.450544982 0.906248825
2.082126594 0.382926136 1.447699207 0.862500000 0.748866010 0.448063217 0.910936325
2.150834420 0.381193182 1.437293986 0.875000000 0.748606406 0.445654559 0.915623825
2.219542246 0.379460227 1.426888764 0.887500000 0.748272629 0.443319007 0.920311325
2.288250072 0.377727273 1.416483543 0.900000000 0.747864679 0.441056563 0.924998825
2.356957898 0.375994318 1.406078321 0.912500000 0.747382557 0.438867226 0.929686325
2.425665724 0.374261364 1.395673100 0.925000000 0.746826262 0.436750995 0.934373825
2.494373550 0.372528409 1.385267878 0.937500000 0.746195794 0.434707872 0.939061325
2.563081376 0.370795455 1.374862657 0.950000000 0.745491154 0.432737855 0.943748825
2.631789202 0.369062500 1.364457436 0.962500000 0.744712341 0.430840946 0.948436325
2.700497028 0.367329545 1.354052214 0.975000000 0.743859355 0.429017143 0.953123825
2.769204854 0.365596591 1.343646993 0.987500000 0.742932196 0.427266447 0.957811325
2.837912680 0.363863636 1.333241771 1.000000000 0.741930865 0.425588859 0.962498825
2.906620506 0.362130682 1.322836550 1.012500000 0.740855361 0.423984377 0.967186325
2.975328332 0.360397727 1.312431329 1.025000000 0.739705685 0.422453002 0.971873825
3.044036158 0.358664773 1.302026107 1.037500000 0.738481836 0.420994734 0.976561325
3.112743984 0.356931818 1.291620886 1.050000000 0.737183814 0.419609574 0.981248825
