# t id iq if torque pcu uutil
0.000000000 0.050000000 0.450000000 0.550000000 0.101250000 0.069100000 0.793748825
0.074166009 0.056818182 0.468181818 0.562500000 0.109171488 0.073556353 0.798436325
0.148332018 0.063636364 0.486363636 0.575000000 0.117390496 0.078170868 0.803123825
0.222498027 0.070454545 0.504545455 0.587500000 0.125907025 0.082943543 0.807811325
0.296664036 0.077272727 0.522727273 0.600000000 0.134721074 0.087874380 0.812498825
0.370830045 0.084090909 0.540909091 0.612500000 0.143832645 0.092963378 0.817186325
0.444996054 0.090909091 0.559090909 0.625000000 0.153241736 0.098210537 0.821873825
0.519162063 0.097727273 0.577272727 0.637500000 0.162948347 0.103615857 0.826561325
0.593328072 0.104545455 0.595454545 0.650000000 0.172952479 0.109179339 0.831248825
0.667494081 0.111363636 0.613636364 0.662500000 0.183254132 0.114900981 0.835936325
0.741660090 0.118181818 0.631818182 0.675000000 0.193853306 0.120780785 0.840623825
0.815826099 0.125000000 0.650000000 0.687500000 0.204750000 0.126818750 0.845311325
0.889992108 0.131818182 0.668181818 0.700000000 0.215944215 0.133014876 0.849998825
0.964158118 0.138636364 0.686363636 0.712500000 0.227435950 0.139369163 0.854686325
1.038324127 0.145454545 0.704545455 0.725000000 0.239225207 0.145881612 0.859373825
1.112490136 0.152272727 0.722727273 0.737500000 0.251311983 0.152552221 0.864061325
1.186656145 0.159090909 0.740909091 0.750000000 0.263696281 0.159380992 0.868748825
1.260822154 0.165909091 0.759090909 0.762500000 0.276378099 0.166367924 0.873436325
1.334988163 0.172727273 0.777272727 0.775000000 0.289357438 0.173513017 0.878123825
1.409154172 0.179545455 0.795454545 0.787500000 0.302634298 0.180816271 0.882811325
1.483320181 0.186363636 0.813636364 0.800000000 0.316208678 0.188277686 0.887498825
1.557486190 0.193181818 0.831818182 0.812500000 0.330080579 0.195897262 0.892186325
1.631652199 0.200000000 0.850000000 0.825000000 0.344250000 0.203675000 0.896873825
1.705818208 0.206818182 0.868181818 0.837500000 0.358716942 0.211610899 0.901561325
1.779984217 0.213636364 0.886363636 0.850000000 0.373481405 0.219704959 0.906248825
1.854150226 0.220454545 0.904545455 0.862500000 0.388543388 0.227957180 0.910936325
1.928316235 0.227272727 0.922727273 0.875000000 0.403902893 0.236367562 0.915623825
2.002482244 0.234090909 0.940909091 0.887500000 0.419559917 0.244936105 0.920311325
2.076648253 0.240909091 0.959090909 0.900000000 0.435514463 0.253662810 0.924998825
2.150814262 0.247727273 0.977272727 0.912500000 0.451766529 0.262547676 0.929686325
2.224980271 0.254545455 0.995454545 0.925000000 0.468316116 0.271590702 0.934373825
2.299146280 0.261363636 1.013636364 0.937500000 0.485163223 0.280791890 0.939061325
2.373312289 0.268181818 1.031818182 0.950000000 0.502307851 0.290151240 0.943748825
2.447478298 0.275000000 1.050000000 0.962500000 0.519750000 0.299668750 0.948436325
2.521644307 0.281818182 1.068181818 0.975000000 0.537489669 0.309344421 0.953123825
2.595810316 0.288636364 1.086363636 0.987500000 0.555526860 0.319178254 0.957811325
2.669976325 0.295454545 1.104545455 1.000000000 0.573861570 0.329170248 0.962498825
2.744142335 0.302272727 1.122727273 1.012500000 0.592493802 0.339320403 0.967186325
2.818308344 0.309090909 1.140909091 1.025000000 0.611423554 0.349628719 0.971873825
2.892474353 0.315909091 1.159090909 1.037500000 0.630650826 0.360095196 0.976561325
2.966640362 0.322727273 1.177272727 1.050000000 0.650175620 0.370719835 0.981248825
3.040806371 0.329545455 1.195454545 1.062500000 0.669997934 0.381502634 0.985936325
3.114972380 0.336363636 1.213636364 1.075000000 0.690117769 0.392443595 0.990623825
3.189138389 0.343181818 1.231818182 1.087500000 0.710535124 0.403542717 0.995311325
3.263304398 0.350000000 1.250000000 1.100000000 0.731250000 0.414800000 0.999998825
