# t id iq if torque pcu uutil
0.000000000 0.050000000 0.450000000 0.550000000 0.101250000 0.069100000 0.972655490
0.028381712 0.093505002 0.444582770 0.551657150 0.110740800 0.069542597 0.973276921
0.056763423 0.137010003 0.439165540 0.553314300 0.119970605 0.070600904 0.973898353
0.085145135 0.180515005 0.433748309 0.554971450 0.128939416 0.072274919 0.974519784
0.113526846 0.224020007 0.428331079 0.556628601 0.137647233 0.074564644 0.975141215
0.141908558 0.267525008 0.422913849 0.558285751 0.146094056 0.077470078 0.975762647
0.170290269 0.311030010 0.417496619 0.559942901 0.154279884 0.080991221 0.976384078
0.198671981 0.354535012 0.412079388 0.561600051 0.162204718 0.085128074 0.977005509
0.227053692 0.398040013 0.406662158 0.563257201 0.169868558 0.089880635 0.977626940
0.255435404 0.441545015 0.401244928 0.564914351 0.177271403 0.095248906 0.978248372
0.283817115 0.485050017 0.395827698 0.566571501 0.184413255 0.101232886 0.978869803
0.312198827 0.528555019 0.390410468 0.568228652 0.191294111 0.107832575 0.979491234
0.340580539 0.572060020 0.384993237 0.569885802 0.197913974 0.115047973 0.980112666
0.368962250 0.615565022 0.379576007 0.571542952 0.204272842 0.122879080 0.980734097
0.397343962 0.659070024 0.374158777 0.573200102 0.210370716 0.131325897 0.981355528
0.425725673 0.702575025 0.368741547 0.574857252 0.216207596 0.140388422 0.981976960
0.454107385 0.746080027 0.363324317 0.576514402 0.221783481 0.150066657 0.982598391
0.482489096 0.789585029 0.357907086 0.578171552 0.227098372 0.160360601 0.983219822
0.510870808 0.833090030 0.352489856 0.579828703 0.232152269 0.171270254 0.983841253
0.539252519 0.876595032 0.347072626 0.581485853 0.236945171 0.182795617 0.984462685
0.567634231 0.920100034 0.341655396 0.583143003 0.241477079 0.194936688 0.985084116
0.596015942 0.963605035 0.336238165 0.584800153 0.245747993 0.207693469 0.985705547
0.624397654 1.007110037 0.330820935 0.586457303 0.249757913 0.221065959 0.986326979
0.652779365 1.050615039 0.325403705 0.588114453 0.253506838 0.235054158 0.986948410
0.681161077 1.094120040 0.319986475 0.589771603 0.256994769 0.249658066 0.987569841
0.709542789 1.137625042 0.314569245 0.591428754 0.260221706 0.264877684 0.988191273
0.737924500 1.181130044 0.309152014 0.593085904 0.263187648 0.280713010 0.988812704
0.766306212 1.224635045 0.303734784 0.594743054 0.265892596 0.297164046 0.989434135
0.794687923 1.268140047 0.298317554 0.596400204 0.268336550 0.314230791 0.990055567
0.823069635 1.311645049 0.292900324 0.598057354 0.270519509 0.331913245 0.990676998
0.851451346 1.355150050 0.287483093 0.599714504 0.272441475 0.350211409 0.991298429
0.879833058 1.398655052 0.282065863 0.601371654 0.274102445 0.369125281 0.991919860
0.908214769 1.442160054 0.276648633 0.603028805 0.275502422 0.388654863 0.992541292
0.936596481 1.485665056 0.271231403 0.604685955 0.276641404 0.408800153 0.993162723
0.964978192 1.529170057 0.265814173 0.606343105 0.277519392 0.429561153 0.993784154
0.993359904 1.572675059 0.260396942 0.608000255 0.278136386 0.450937863 0.994405586
1.021741616 1.616180061 0.254979712 0.609657405 0.278492385 0.472930281 0.995027017
1.050123327 1.659685062 0.249562482 0.611314555 0.278587391 0.495538408 0.995648448
1.078505039 1.703190064 0.244145252 0.612971705 0.278421401 0.518762245 0.996269880
1.106886750 1.746695066 0.238728022 0.614628856 0.277994418 0.542601791 0.996891311
1.135268462 1.790200067 0.233310791 0.616286006 0.277306440 0.567057046 0.997512742
1.163650173 1.833705069 0.227893561 0.617943156 0.276357468 0.592128010 0.998134173
